order_total,number_of_items,average_item_price,is_new_user,account_age_days,shipping_distance,billing_shipping_match,order_hour,is_night_order,orders_in_last_hour,is_fraud
10.0,6,1.67,0,33,54.65,1,10,0,0,0
10.0,4,2.5,0,144,30.43,1,10,0,0,0
122.64,5,24.53,0,113,1.89,1,18,0,0,0
87.98,3,29.33,0,119,30.2,1,11,0,1,0
105.79,5,21.16,0,151,47.03,1,11,0,2,0
10.0,5,2.0,0,81,19.88,1,12,0,0,0
170.36,2,85.18,0,502,12.55,1,15,0,1,0
74.96,5,14.99,0,32,19.39,1,16,0,1,0
157.7,3,52.57,0,330,28.57,1,9,0,0,0
103.26,2,51.63,0,226,20.8,1,12,0,2,0
93.06,4,23.27,0,237,13.25,1,16,0,0,0
115.22,2,57.61,0,85,22.14,1,10,0,1,0
48.38,2,24.19,0,262,25.36,1,18,0,0,0
72.99,3,24.33,0,930,11.61,1,22,0,0,0
195.03,6,32.51,0,410,29.41,1,15,0,0,0
209.88,2,104.94,0,122,25.36,1,9,0,2,0
61.83,3,20.61,0,130,5.48,1,6,0,0,0
90.54,5,18.11,0,39,7.56,1,21,0,0,0
127.33,4,31.83,0,79,18.72,1,20,0,0,0
35.24,6,5.87,0,75,14.56,1,16,0,0,0
171.69,3,57.23,0,243,18.26,1,15,0,1,0
112.81,3,37.6,0,62,26.71,1,21,0,1,0
168.97,4,42.24,0,94,9.12,1,6,0,0,0
105.58,3,35.19,0,298,11.92,1,11,0,1,0
115.68,3,38.56,0,581,4.71,1,17,0,0,0
10.0,5,2.0,0,54,20.97,1,14,0,1,0
159.18,4,39.8,0,45,13.68,1,7,0,0,0
221.54,4,55.38,0,103,27.16,1,20,0,2,0
96.23,5,19.25,0,30,12.72,1,18,0,1,0
167.95,4,41.99,0,54,14.57,1,18,0,0,0
123.09,3,41.03,0,84,47.05,1,11,0,0,0
124.4,4,31.1,0,409,39.53,1,8,0,0,0
102.72,5,20.54,0,321,45.75,1,17,0,0,0
157.62,3,52.54,0,372,26.43,1,8,0,0,0
120.01,1,120.01,0,88,24.86,1,14,0,1,0
159.53,8,19.94,0,229,21.57,1,20,0,0,0
29.11,1,29.11,0,33,30.77,1,9,0,1,0
160.13,2,80.06,0,349,22.69,1,14,0,0,0
120.31,6,20.05,0,184,13.62,1,6,0,0,0
64.64,4,16.16,0,277,24.97,1,14,0,2,0
151.62,6,25.27,0,358,15.44,1,18,0,1,0
79.83,4,19.96,0,158,1.99,1,18,0,0,0
133.02,5,26.6,0,559,51.38,1,10,0,3,0
98.74,8,12.34,0,62,58.14,1,8,0,2,0
154.87,3,51.62,0,96,26.89,1,19,0,0,0
169.1,3,56.37,0,256,19.3,1,14,0,0,0
258.23,4,64.56,0,89,33.09,1,11,0,0,0
131.43,2,65.72,0,146,31.74,1,16,0,0,0
22.17,3,7.39,0,141,25.83,1,15,0,0,0
69.11,5,13.82,0,102,41.17,1,10,0,2,0
74.05,3,24.68,0,156,28.41,1,17,0,1,0
151.21,2,75.61,0,1014,29.15,1,15,0,0,0
10.0,1,10.0,0,52,17.51,1,6,0,0,0
36.88,5,7.38,0,90,33.9,1,21,0,0,0
93.73,3,31.24,0,115,1.0,1,18,0,1,0
151.99,2,76.0,0,106,28.33,1,21,0,0,0
132.11,6,22.02,0,328,29.64,1,16,0,1,0
104.18,3,34.73,0,181,26.56,1,11,0,0,0
150.39,4,37.6,0,34,33.45,1,12,0,0,0
121.16,3,40.39,0,107,33.74,1,15,0,1,0
76.91,4,19.23,0,179,15.77,1,6,0,1,0
155.61,3,51.87,0,146,1.0,1,13,0,1,0
10.0,2,5.0,0,199,24.6,1,6,0,0,0
141.37,5,28.27,0,148,25.84,1,8,0,0,0
198.61,6,33.1,0,118,37.97,1,12,0,0,0
48.38,9,5.38,0,50,39.94,1,13,0,0,0
77.7,4,19.43,0,58,20.15,1,7,0,0,0
10.0,3,3.33,0,600,29.67,1,22,0,0,0
43.45,6,7.24,0,225,24.5,1,7,0,1,0
209.47,3,69.82,0,498,20.49,1,17,0,0,0
213.89,3,71.3,0,91,16.34,1,12,0,0,0
74.82,5,14.96,0,79,35.05,1,6,0,1,0
185.19,4,46.3,0,201,32.85,1,9,0,2,0
212.07,3,70.69,0,373,41.84,1,9,0,0,0
34.68,4,8.67,0,867,28.23,1,19,0,0,0
174.1,2,87.05,0,199,19.28,1,19,0,0,0
210.59,4,52.65,0,367,31.03,1,10,0,0,0
216.96,5,43.39,0,90,10.46,1,6,0,1,0
129.71,2,64.86,0,205,49.52,1,13,0,0,0
139.92,3,46.64,0,40,34.69,1,9,0,1,0
46.61,4,11.65,0,42,46.37,1,6,0,0,0
160.76,5,32.15,0,254,7.77,1,7,0,1,0
107.53,6,17.92,0,64,24.27,1,8,0,0,0
120.84,3,40.28,0,270,25.98,1,20,0,1,0
92.56,1,92.56,0,129,38.38,1,10,0,2,0
24.71,4,6.18,0,287,11.97,1,21,0,0,0
211.98,5,42.4,0,503,1.0,1,11,0,0,0
166.57,3,55.52,0,260,20.66,1,21,0,0,0
143.14,7,20.45,0,347,12.85,1,19,0,0,0
70.96,4,17.74,0,225,15.86,1,7,0,2,0
89.35,3,29.78,0,257,46.41,1,11,0,0,0
141.58,4,35.4,0,161,17.52,1,20,0,0,0
104.97,2,52.48,0,52,10.82,1,16,0,1,0
191.52,4,47.88,0,85,35.96,1,21,0,0,0
68.95,3,22.98,0,242,14.07,1,16,0,0,0
113.95,5,22.79,0,144,29.75,1,8,0,0,0
190.38,4,47.59,0,365,17.14,1,16,0,0,0
168.38,3,56.13,0,278,29.91,1,13,0,1,0
81.98,7,11.71,0,234,1.0,1,18,0,1,0
218.54,6,36.42,0,49,40.07,1,22,0,0,0
79.29,8,9.91,0,82,3.88,1,18,0,0,0
24.91,6,4.15,0,140,22.48,1,18,0,0,0
104.76,6,17.46,0,601,19.68,1,9,0,1,0
147.21,4,36.8,0,127,10.27,1,8,0,0,0
94.33,3,31.44,0,95,55.04,1,22,0,1,0
114.92,2,57.46,0,432,48.24,1,10,0,0,0
71.35,4,17.84,0,518,30.5,1,19,0,1,0
160.79,4,40.2,0,295,37.38,1,17,0,1,0
97.18,7,13.88,0,244,12.43,1,6,0,1,0
218.1,4,54.52,0,195,36.62,1,22,0,1,0
153.69,4,38.42,0,101,22.02,1,17,0,0,0
169.28,4,42.32,0,58,25.07,1,15,0,0,0
197.99,5,39.6,0,135,14.29,1,17,0,0,0
155.45,6,25.91,0,124,1.0,1,12,0,0,0
209.79,5,41.96,0,50,37.43,1,6,0,0,0
162.68,3,54.23,0,55,25.07,1,11,0,0,0
98.22,4,24.55,0,399,27.62,1,9,0,3,0
135.83,4,33.96,0,247,19.08,1,8,0,0,0
76.62,6,12.77,0,301,20.26,1,21,0,1,0
134.49,4,33.62,0,720,23.49,1,18,0,0,0
117.98,3,39.33,0,322,10.74,1,13,0,0,0
124.21,1,124.21,0,457,27.35,1,10,0,0,0
22.38,6,3.73,0,59,55.34,1,20,0,0,0
95.51,6,15.92,0,46,15.74,1,8,0,0,0
74.17,4,18.54,0,348,29.13,1,7,0,0,0
137.77,4,34.44,0,107,30.63,1,15,0,0,0
138.31,5,27.66,0,54,36.83,1,22,0,1,0
117.25,4,29.31,0,396,24.05,1,10,0,0,0
131.12,3,43.71,0,80,34.48,1,17,0,0,0
86.86,2,43.43,0,358,8.54,1,21,0,0,0
10.0,2,5.0,0,50,42.63,1,22,0,1,0
229.31,5,45.86,0,32,12.13,1,20,0,0,0
165.54,3,55.18,0,520,29.22,1,7,0,0,0
120.68,6,20.11,0,644,35.14,1,13,0,1,0
59.22,2,29.61,0,370,27.0,1,16,0,0,0
1019.38,3,61.24,1,3,21.82,1,7,0,13,1
31.42,2,15.71,0,160,52.08,1,11,0,0,0
75.2,5,15.04,0,170,18.99,1,22,0,0,0
82.05,4,20.51,0,271,10.12,1,20,0,0,0
110.28,4,27.57,0,30,41.7,1,22,0,0,0
158.49,7,22.64,0,458,11.12,1,13,0,0,0
80.37,4,20.09,0,66,28.57,1,20,0,0,0
97.84,3,32.61,0,108,27.15,1,19,0,1,0
78.32,6,13.05,0,179,43.12,1,22,0,0,0
107.69,2,53.84,0,356,21.58,1,22,0,0,0
85.2,8,10.65,0,274,28.59,1,9,0,1,0
157.42,2,78.71,0,172,1.31,1,22,0,0,0
194.74,4,48.69,0,109,32.0,1,10,0,1,0
187.97,4,46.99,0,169,44.91,1,17,0,1,0
116.37,3,38.79,0,185,27.94,1,7,0,0,0
76.1,4,19.02,0,276,33.99,1,21,0,0,0
136.64,5,27.33,0,171,23.29,1,16,0,0,0
10.0,5,2.0,0,426,24.28,1,22,0,1,0
149.93,5,29.99,0,46,17.68,1,13,0,1,0
10.0,3,3.33,0,91,16.98,1,17,0,1,0
201.12,3,67.04,0,58,29.23,1,16,0,1,0
69.0,4,17.25,0,172,20.82,1,9,0,0,0
85.76,5,17.15,0,79,17.64,1,12,0,0,0
245.98,2,122.99,0,121,21.29,1,6,0,2,0
53.13,3,17.71,0,940,28.66,1,11,0,0,0
61.48,1,61.48,0,122,44.55,1,16,0,0,0
50.04,2,25.02,0,412,14.69,1,14,0,0,0
175.16,4,43.79,0,40,26.92,1,7,0,0,0
213.71,4,53.43,0,315,16.81,1,19,0,0,0
85.93,2,42.97,0,54,10.69,1,10,0,0,0
104.35,3,34.78,0,196,20.94,1,12,0,0,0
61.36,7,8.77,0,517,57.13,1,10,0,0,0
68.48,8,8.56,0,377,50.43,1,10,0,0,0
133.83,1,133.83,0,1061,35.09,1,15,0,0,0
145.47,3,48.49,0,85,39.11,1,19,0,0,0
165.79,6,27.63,0,290,38.84,1,15,0,2,0
168.87,3,56.29,0,415,11.09,1,11,0,2,0
26.2,6,4.37,0,82,8.68,1,16,0,0,0
203.32,5,40.66,0,402,27.14,1,12,0,0,0
172.6,5,34.52,0,123,14.0,1,20,0,0,0
91.87,7,13.12,0,64,40.19,1,14,0,0,0
86.63,7,12.38,0,164,20.21,1,10,0,0,0
66.07,5,13.21,0,193,24.74,1,21,0,0,0
66.22,4,16.55,0,60,17.01,1,13,0,0,0
154.27,5,30.85,0,64,45.86,1,16,0,0,0
194.99,6,32.5,0,328,8.6,1,15,0,0,0
139.15,5,27.83,0,184,13.45,1,18,0,0,0
171.13,7,24.45,0,31,43.77,1,12,0,2,0
74.05,4,18.51,0,345,24.48,1,21,0,0,0
144.37,5,28.87,0,469,47.34,1,7,0,1,0
151.92,2,75.96,0,149,16.42,1,13,0,0,0
131.97,3,43.99,0,116,33.35,1,9,0,0,0
168.9,6,28.15,0,199,19.43,1,6,0,0,0
169.32,6,28.22,0,272,49.93,1,9,0,1,0
177.62,4,44.41,0,266,31.94,1,9,0,2,0
63.5,3,21.17,0,211,2.36,1,21,0,1,0
109.53,4,27.38,0,517,13.79,1,11,0,0,0
114.52,5,22.9,0,102,2.77,1,19,0,0,0
148.5,4,37.12,0,398,27.73,1,14,0,0,0
149.47,3,49.82,0,37,19.63,1,12,0,0,0
159.53,4,39.88,0,236,34.41,1,9,0,1,0
194.11,5,38.82,0,73,20.2,1,12,0,1,0
69.77,2,34.88,0,43,13.87,1,15,0,0,0
107.75,3,35.92,0,54,71.77,1,19,0,1,0
159.3,4,39.83,0,115,37.16,1,14,0,0,0
165.12,1,165.12,0,154,25.31,1,18,0,1,0
66.2,1,66.2,0,239,1.0,1,16,0,0,0
118.93,3,39.64,0,150,10.35,1,11,0,0,0
43.31,3,14.44,0,402,26.06,1,9,0,2,0
88.81,4,22.2,0,148,27.83,1,17,0,0,0
107.41,1,107.41,0,171,25.24,1,14,0,0,0
10.0,5,2.0,0,200,44.52,1,21,0,0,0
176.41,4,44.1,0,202,12.11,1,22,0,0,0
41.03,2,20.52,0,156,26.11,1,9,0,1,0
130.08,7,18.58,0,143,35.24,1,17,0,2,0
147.16,5,29.43,0,362,28.59,1,10,0,0,0
64.53,2,32.27,0,103,3.29,1,20,0,1,0
183.56,4,45.89,0,311,27.17,1,11,0,0,0
56.99,4,14.25,0,55,36.36,1,13,0,0,0
234.02,5,46.8,0,149,40.35,1,14,0,1,0
10.0,5,2.0,0,141,30.41,1,18,0,0,0
213.07,5,42.61,0,40,36.54,1,12,0,0,0
114.7,6,19.12,0,207,1.0,1,21,0,0,0
54.76,7,7.82,0,70,43.75,1,20,0,0,0
17.94,4,4.49,0,75,39.45,1,13,0,0,0
114.73,2,57.37,0,288,56.19,1,14,0,0,0
474.67,5,50.86,1,0,45.71,1,13,0,11,1
73.73,6,12.29,0,145,34.16,1,8,0,0,0
111.67,3,37.22,0,133,1.0,1,7,0,2,0
172.8,4,43.2,0,92,56.93,1,11,0,1,0
116.93,2,58.47,0,106,27.98,1,17,0,1,0
72.46,3,24.15,0,242,19.01,1,21,0,1,0
90.79,7,12.97,0,122,17.02,1,8,0,0,0
21.43,3,7.14,0,215,49.67,1,9,0,1,0
112.36,3,37.45,0,82,40.28,1,13,0,0,0
122.05,4,30.51,0,103,12.18,1,20,0,0,0
162.44,4,40.61,0,44,41.64,1,21,0,0,0
97.15,5,19.43,0,453,25.48,1,22,0,0,0
57.64,4,14.41,0,204,11.98,1,17,0,0,0
123.09,2,61.55,0,171,32.7,1,14,0,2,0
149.7,7,21.39,0,217,20.54,1,22,0,1,0
682.97,2,93.84,0,55,1155.09,1,11,0,0,1
153.39,4,38.35,0,339,4.97,1,8,0,0,0
82.03,7,11.72,0,220,29.36,1,21,0,1,0
216.92,7,30.99,0,54,20.17,1,22,0,1,0
183.09,5,36.62,0,365,38.38,1,20,0,1,0
96.87,5,19.37,0,310,8.98,1,13,0,0,0
88.11,4,22.03,0,153,1.48,1,6,0,0,0
217.59,2,108.8,0,118,28.54,1,16,0,0,0
70.21,5,14.04,0,298,17.62,1,13,0,0,0
99.93,5,19.99,0,41,9.09,1,12,0,0,0
225.07,4,56.27,0,347,16.34,1,14,0,0,0
118.22,3,39.41,0,196,17.82,1,10,0,1,0
75.48,5,15.1,0,254,18.73,1,16,0,0,0
139.62,7,19.95,0,107,27.32,1,9,0,0,0
27.22,6,4.54,0,72,44.86,1,21,0,0,0
95.58,7,13.65,0,108,35.29,1,7,0,3,0
152.06,8,19.01,0,336,1.0,1,7,0,0,0
66.42,3,22.14,0,578,17.55,1,7,0,1,0
161.51,2,80.75,0,232,48.96,1,18,0,1,0
38.06,1,38.06,0,59,21.23,1,10,0,0,0
155.31,4,38.83,0,304,35.0,1,15,0,2,0
170.75,2,85.38,0,309,19.87,1,20,0,1,0
142.83,8,17.85,0,523,35.36,1,22,0,0,0
119.53,7,17.08,0,269,7.0,1,16,0,0,0
83.1,4,20.77,0,137,12.62,1,13,0,0,0
114.34,6,19.06,0,170,23.71,1,20,0,0,0
111.45,3,37.15,0,36,14.6,1,21,0,0,0
122.73,2,61.37,0,489,39.17,1,15,0,0,0
23.62,3,7.87,0,449,36.69,1,8,0,1,0
93.62,6,15.6,0,71,16.07,1,8,0,0,0
81.96,4,20.49,0,159,31.33,1,20,0,0,0
65.45,4,16.36,0,31,19.77,1,10,0,1,0
175.61,6,29.27,0,105,23.68,1,18,0,0,0
63.07,2,31.54,0,327,81.66,1,13,0,1,0
89.94,5,17.99,0,106,31.21,1,8,0,0,0
76.29,5,15.26,0,313,35.23,1,22,0,1,0
60.12,5,12.02,0,307,24.23,1,6,0,1,0
171.09,3,57.03,0,61,34.14,1,16,0,1,0
129.84,5,25.97,0,90,17.85,1,22,0,2,0
66.86,1,66.86,0,79,15.63,1,14,0,1,0
214.28,7,30.61,0,507,25.15,1,7,0,1,0
169.79,5,33.96,0,261,12.89,1,17,0,0,0
127.48,5,25.5,0,246,19.45,1,7,0,0,0
182.68,5,36.54,0,540,36.25,1,18,0,2,0
144.58,6,24.1,0,97,16.05,1,22,0,1,0
114.96,3,38.32,0,43,32.15,1,21,0,1,0
200.48,6,33.41,0,73,11.74,1,9,0,0,0
115.51,6,19.25,0,73,1.0,1,12,0,0,0
73.63,2,36.81,0,142,21.45,1,9,0,0,0
127.91,1,127.91,0,142,41.38,1,18,0,1,0
186.63,7,26.66,0,73,32.45,1,8,0,0,0
147.86,3,49.29,0,43,16.74,1,16,0,1,0
152.75,3,50.92,0,57,12.4,1,21,0,0,0
147.74,2,73.87,0,254,6.51,1,7,0,1,0
162.51,5,32.5,0,272,39.34,1,13,0,0,0
92.25,4,23.06,0,143,30.82,1,21,0,1,0
145.07,5,29.01,0,156,12.1,1,21,0,0,0
155.74,2,77.87,0,186,33.77,1,15,0,1,0
140.67,4,35.17,0,112,26.83,1,10,0,0,0
197.29,3,65.76,0,104,37.57,1,15,0,1,0
100.94,3,33.65,0,88,23.66,1,22,0,0,0
104.63,3,34.88,0,49,44.13,1,9,0,1,0
33.84,2,16.92,0,106,20.94,1,7,0,0,0
80.66,4,20.16,0,62,25.15,1,20,0,0,0
173.86,6,28.98,0,142,26.57,1,12,0,2,0
54.78,3,18.26,0,83,10.59,1,14,0,0,0
162.36,1,162.36,0,98,21.36,1,21,0,0,0
118.1,4,29.52,0,152,19.8,1,19,0,0,0
140.3,4,35.08,0,563,10.11,1,13,0,2,0
99.7,5,19.94,0,44,43.22,1,18,0,2,0
170.35,8,21.29,0,593,1.0,1,12,0,0,0
153.14,4,38.28,0,268,20.73,1,6,0,1,0
83.81,1,83.81,0,134,21.0,1,10,0,0,0
124.42,5,24.88,0,118,13.23,1,7,0,1,0
273.28,2,136.64,0,40,15.37,1,13,0,0,0
107.35,11,9.76,0,193,60.86,1,21,0,1,0
69.84,2,34.92,0,120,46.37,1,13,0,1,0
19.23,5,3.85,0,150,6.88,1,15,0,1,0
102.95,7,14.71,0,121,48.52,1,22,0,1,0
60.02,4,15.01,0,215,17.26,1,12,0,1,0
10.0,1,10.0,0,141,35.24,1,16,0,0,0
179.03,3,59.68,0,120,26.89,1,16,0,0,0
10.0,4,2.5,0,91,4.93,1,20,0,1,0
96.9,6,16.15,0,77,1.0,1,14,0,1,0
123.42,4,30.86,0,382,57.49,1,18,0,0,0
202.69,4,50.67,0,452,40.8,1,16,0,0,0
113.01,6,18.84,0,440,49.97,1,10,0,0,0
150.33,3,50.11,0,98,31.54,1,8,0,0,0
214.13,2,107.06,0,62,5.08,1,10,0,1,0
101.6,1,101.6,0,252,47.33,1,16,0,1,0
123.96,9,13.77,0,85,2.09,1,17,0,0,0
100.16,5,20.03,0,52,8.91,1,21,0,1,0
225.49,1,225.49,0,153,31.88,1,16,0,1,0
108.6,2,54.3,0,58,31.73,1,9,0,2,0
113.26,4,28.32,0,113,21.69,1,18,0,0,0
164.09,5,32.82,0,141,42.28,1,13,0,0,0
139.92,5,27.98,0,324,27.86,1,8,0,0,0
101.6,5,20.32,0,324,33.8,1,14,0,0,0
181.09,3,60.36,0,36,26.93,1,6,0,0,0
40.57,4,10.14,0,85,65.89,1,20,0,0,0
114.8,3,38.27,0,221,25.57,1,7,0,0,0
94.51,4,23.63,0,68,43.01,1,13,0,0,0
76.86,9,8.54,0,44,21.06,1,10,0,0,0
10.0,3,3.33,0,81,5.82,1,11,0,1,0
642.99,6,19.1,1,6,48.86,1,15,0,6,1
160.8,3,53.6,0,587,1.0,1,18,0,1,0
139.02,4,34.76,0,453,11.27,1,16,0,3,0
164.98,3,54.99,0,32,32.46,1,9,0,0,0
226.88,10,22.69,0,113,33.5,1,10,0,0,0
75.23,4,18.81,0,61,8.47,1,22,0,0,0
10.0,3,3.33,0,187,13.58,1,21,0,0,0
66.86,4,16.71,0,86,21.06,1,13,0,0,0
166.97,3,55.66,0,186,1.21,1,10,0,0,0
144.63,1,144.63,0,202,36.54,1,6,0,0,0
133.8,4,33.45,0,344,30.47,1,20,0,1,0
220.97,6,36.83,0,76,2.69,1,21,0,0,0
67.18,5,13.44,0,117,22.62,1,15,0,0,0
122.49,3,40.83,0,319,28.43,1,18,0,2,0
208.59,5,41.72,0,78,45.7,1,15,0,1,0
147.92,2,73.96,0,418,32.92,1,18,0,0,0
100.31,6,16.72,0,248,17.46,1,14,0,0,0
134.67,8,16.83,0,91,57.65,1,20,0,0,0
132.48,4,33.12,0,68,14.15,1,20,0,1,0
70.38,5,14.08,0,74,33.8,1,8,0,1,0
169.1,5,33.82,0,152,28.6,1,10,0,0,0
76.3,6,12.72,0,90,30.86,1,18,0,0,0
83.37,2,41.69,0,134,17.85,1,19,0,0,0
99.95,3,33.32,0,35,27.29,1,21,0,2,0
47.79,3,15.93,0,602,36.66,1,14,0,1,0
109.87,4,27.47,0,112,1.0,1,14,0,0,0
71.08,5,14.22,0,46,9.01,1,19,0,0,0
112.07,3,37.36,0,219,2.79,1,20,0,0,0
101.55,2,50.77,0,250,10.26,1,6,0,1,0
196.7,4,49.17,0,153,12.46,1,6,0,0,0
162.41,9,18.05,0,638,4.67,1,14,0,0,0
97.75,3,32.58,0,286,27.54,1,21,0,0,0
62.0,2,31.0,0,112,13.06,1,16,0,0,0
65.37,3,21.79,0,123,56.61,1,21,0,2,0
73.6,3,24.53,0,179,25.36,1,18,0,1,0
214.69,6,35.78,0,89,39.78,1,15,0,1,0
128.35,2,64.17,0,122,14.35,1,8,0,0,0
117.23,3,39.08,0,428,44.5,1,11,0,1,0
120.85,4,30.21,0,494,13.59,1,8,0,1,0
95.78,2,47.89,0,256,37.15,1,6,0,1,0
123.72,2,61.86,0,41,34.72,1,16,0,1,0
155.33,4,38.83,0,206,17.06,1,6,0,0,0
122.89,4,30.72,0,49,32.17,1,17,0,0,0
141.91,4,35.48,0,98,10.57,1,17,0,1,0
102.6,5,20.52,0,73,35.61,1,21,0,1,0
129.07,6,21.51,0,126,1.0,1,12,0,1,0
124.95,6,20.82,0,266,49.65,1,19,0,0,0
126.39,2,63.2,0,842,34.52,1,19,0,1,0
200.07,4,50.02,0,182,21.17,1,11,0,1,0
135.91,6,22.65,0,132,34.63,1,9,0,1,0
152.87,3,50.96,0,372,33.1,1,22,0,1,0
61.51,7,8.79,0,42,20.22,1,17,0,0,0
118.62,2,59.31,0,95,44.18,1,10,0,1,0
40.19,4,10.05,0,164,43.95,1,17,0,0,0
157.98,3,52.66,0,384,18.26,1,15,0,1,0
31.24,3,10.41,0,243,11.21,1,21,0,1,0
68.12,2,34.06,0,30,1.0,1,7,0,1,0
10.0,5,2.0,0,394,33.87,1,16,0,0,0
79.56,10,7.96,0,77,49.45,1,22,0,0,0
102.77,2,51.38,0,84,17.72,1,22,0,2,0
85.94,3,28.65,0,167,15.58,1,7,0,0,0
170.17,3,56.72,0,69,32.15,1,13,0,1,0
953.95,4,55.27,0,215,21.85,0,4,1,0,1
218.33,2,109.17,0,58,22.16,1,14,0,0,0
124.27,5,24.85,0,91,11.44,1,7,0,0,0
21.46,2,10.73,0,581,32.47,1,14,0,1,0
73.98,2,36.99,0,325,15.94,1,21,0,0,0
101.18,3,33.73,0,51,14.4,1,21,0,1,0
131.46,4,32.87,0,335,22.77,1,8,0,0,0
91.43,7,13.06,0,239,38.12,1,9,0,0,0
23.76,5,4.75,0,111,20.55,1,20,0,0,0
166.47,3,55.49,0,254,27.69,1,15,0,1,0
197.6,2,98.8,0,489,31.33,1,11,0,1,0
208.16,8,26.02,0,168,12.08,1,22,0,2,0
159.7,3,53.23,0,590,21.36,1,12,0,0,0
189.73,2,94.86,0,88,38.52,1,12,0,0,0
10.0,5,2.0,0,41,63.24,1,14,0,0,0
130.99,3,43.66,0,445,28.75,1,10,0,3,0
167.49,3,55.83,0,191,47.67,1,19,0,0,0
123.35,6,20.56,0,157,12.16,1,18,0,0,0
79.17,5,15.83,0,75,11.29,1,16,0,1,0
68.37,2,34.19,0,142,23.91,1,20,0,1,0
137.08,4,34.27,0,175,22.54,1,19,0,2,0
30.25,6,5.04,0,149,47.17,1,15,0,0,0
48.35,1,48.35,0,334,9.81,1,9,0,0,0
178.04,7,25.43,0,75,27.14,1,9,0,0,0
173.36,3,57.79,0,567,1.0,1,18,0,1,0
79.68,6,13.28,0,232,38.82,1,19,0,0,0
21.74,5,4.35,0,116,26.79,1,16,0,0,0
113.68,3,37.89,0,303,38.13,1,11,0,0,0
83.57,3,27.86,0,247,39.68,1,21,0,0,0
56.77,7,8.11,0,340,35.75,1,18,0,0,0
182.52,5,36.5,0,186,50.01,1,13,0,1,0
204.63,4,51.16,0,161,43.22,1,12,0,0,0
164.4,4,41.1,0,83,19.44,1,9,0,1,0
234.91,4,58.73,0,83,22.73,1,10,0,0,0
142.63,2,71.31,0,104,9.51,1,19,0,0,0
118.0,1,118.0,0,387,2.29,1,18,0,0,0
181.61,6,30.27,0,182,33.99,1,18,0,1,0
120.04,3,40.01,0,227,24.07,1,18,0,0,0
156.67,3,52.22,0,60,54.98,1,6,0,1,0
202.18,4,50.55,0,135,48.8,1,11,0,1,0
191.9,7,27.41,0,181,25.22,1,7,0,0,0
112.58,3,37.53,0,183,34.24,1,12,0,0,0
174.46,4,43.62,0,256,12.64,1,7,0,1,0
131.44,3,43.81,0,474,28.12,1,16,0,0,0
51.27,5,10.25,0,225,4.28,1,6,0,1,0
28.04,3,9.35,0,74,8.07,1,16,0,0,0
73.02,2,36.51,0,363,29.88,1,16,0,1,0
133.12,3,44.37,0,153,22.5,1,15,0,1,0
22.64,4,5.66,0,36,9.09,1,20,0,0,0
247.82,8,30.98,0,196,9.68,1,13,0,1,0
126.85,2,63.42,0,86,27.25,1,18,0,0,0
151.99,5,30.4,0,320,46.69,1,20,0,0,0
195.83,3,65.28,0,99,9.85,1,16,0,0,0
190.13,3,63.38,0,42,39.79,1,9,0,2,0
